DomandaSintetica;DomandaCorretta
Come posso giustificare una malattia?;Come posso giustificare una assenza?
Come si legge il cedolino?;Hai dei dubbi in merito alla lettura del tuo cedolino?
Cosa fare in caso di errore nella busta paga?;Hai dei dubbi in merito alla lettura del tuo cedolino?
Dove posso visualizzare il mio saldo ferie?;Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?
Qual è il limite massimo di giorni di ferie accumulabili?;Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?
Come si richiede il rimborso spese?;Come posso compilare una nota spese?
Come posso segnalare un problema con le ore lavorate?;Come posso verificare la presenza di eventuali anomalie presenze?
Come viene calcolata la tredicesima?;Come viene indicata la 13ma/14ma mensilità sul cedolino di dicembre/giugno?
Come si ottiene il certificato di stipendio?;Come ottenere il certificato di stipendio per la cessione del quinto?
Qual è la procedura per richiedere un permesso retribuito?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Come posso chiedere un congedo parentale?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Cosa succede se non rispetto l'orario di lavoro?;Come posso verificare la presenza di eventuali anomalie presenze?
Quali sono le regole per lo smart working?;Come inserire giustificativi per lavoro da remoto?
Qual è la procedura per richiedere il congedo matrimoniale?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Quali sono le regole per il telelavoro?;Come inserire giustificativi per lavoro da remoto?
Come posso verificare il mio saldo ore straordinarie?;Come posso visualizzare le mie timbrature?
Come posso fare domanda per un permesso non retribuito?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Come posso richiedere un congedo per lutto?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Quali sono le politiche aziendali sui ritardi?;Come inserire giustificativo ritardo?
Come posso chiedere un congedo per assistere un familiare malato?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Come posso richiedere un assegno familiare?;Quando serve indicare o rimuovere figlie/i a carico?
Cosa fare in caso di errori nella busta paga?;Hai dei dubbi in merito alla lettura del tuo cedolino?
Come posso richiedere un periodo di ferie aggiuntive?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Cosa fare se la busta paga contiene errori di contributi?;Hai dei dubbi in merito alla lettura del tuo cedolino?
Quali sono i benefit per i dipendenti con figli a carico?;Quando serve indicare o rimuovere figlie/i a carico?
Quali voci del cedolino riguardano l'auto in fringe benefit?;Auto in fringe benefit: come individuare le voci a cedolino?
Come posso usare l'app DMGO per i servizi di amministrazione del personale?;Come accedere i servizi di amministrazione del personale via mobile: APP DMGO?
In che modo posso richiedere il certificato di stipendio per la cessione del quinto?;Come ottenere il certificato di stipendio per la cessione del quinto?
Dove trovo la tredicesima e quattordicesima sul cedolino?;Come viene indicata la 13ma/14ma mensilità sul cedolino di dicembre/giugno?
Come funziona la rateazione del debito dal modello 730?;Cos' è la rateazione del debito proveniente da modello 730?
Che cosa indica la voce CRA2A sul cedolino?;Cos'è la trattenuta CRA2A?
In quale sezione del cedolino è indicato il rimborso del modello 730?;Dove trovo l'importo rimborsato tramite il modello 730?
Non capisco alcune voci del mio cedolino, come posso interpretarle?;Hai dei dubbi in merito alla lettura del tuo cedolino?
Quando devo aggiornare le informazioni sui figli a carico?;Quando serve indicare o rimuovere figlie/i a carico?
Cosa si intende per 'zainetto' e come funziona?;Che cos'è lo zainetto e come utilizzarlo?
Come faccio a cancellare un giustificativo che ho inserito per errore?;Come annullare inserimento giustificativo?
Cosa fare se un giustificativo di assenza non è più necessario?;Come eliminare un giustificativo di assenza inserito che poi per esigenze di servizio non ho usato?
Qual è la procedura per registrare i giustificativi per il lavoro da remoto?;Come inserire giustificativi per lavoro da remoto?
Come si può segnalare un ritardo sul lavoro?;Come inserire giustificativo ritardo?
Come registrare le ore di viaggio?;Come inserire le ore viaggio?
Quali giustificativi devo usare per segnalare un'assenza?;Come posso giustificare una assenza?
Posso creare una lista di giustificativi preferiti per una selezione rapida?;"Come posso impostare i giustificativi tra i ""preferiti"" per la selezione automatica?"
Come posso controllare se ci sono errori nelle mie presenze?;Come posso verificare la presenza di eventuali anomalie presenze?
Dove posso vedere il saldo delle mie ferie?;Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?
Dove trovo le informazioni sulle mie timbrature?;Come posso visualizzare le mie timbrature?
Come faccio a designare un delegato per approvare le presenze del mio team?;Come puoi nominare un delegato all'approvazione delle presenze del tuo team?
Qual è la procedura per chiedere un congedo o un permesso per motivi personali?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Cosa fare se ci sono problemi nella visualizzazione su DM TIME?;Come risolvere errori di visualizzazione su DM TIME?
Posso aggiungere una timbratura manualmente?;È possibile inserire manualmente una timbratura?
Come posso giustificare un periodo di ferie continuativo con un solo inserimento?;Posso giustificare un periodo di FERIE di più giorni consecutivi con un unico inserimento?
Che tipo di dati vengono generati automaticamente dalle timbrature e giustificativi?;Quali informazioni sono generate dal sistema in base alle timbrature ed ai giustificativi inseriti?
Qual è il processo per prenotare un viaggio di lavoro?;Come fare per prenotare un viaggio di lavoro?
Come posso registrare le spese di alloggio?;Come inserire giustificativo spese alloggio?
Come si fa a chiedere il rimborso delle spese per i pasti?;Come inserire rimborsi per vitto?
Come si registrano le spese di rappresentanza?;Come inserire spese di rappresentanza?
Come posso finalizzare una nota spese e inviarla per l'approvazione?;Come posso chiudere una nota spese e mandarla in approvazione?
Qual è il modo corretto per compilare una nota spese?;Come posso compilare una nota spese?
Come posso ottenere l'autorizzazione per usare la mia auto privata?;Come richiedere autorizzazione a utilizzo auto privata?
Qual è la procedura da seguire se perdo uno scontrino?;Cosa fare se ho smarrito gli scontrini?
Che documenti servono per richiedere il rimborso del trasporto pubblico durante una trasferta?;In caso di trasferta quali documenti allegare per richiedere il rimborso delle spese per il trasporto pubblico?
Qual è la travel policy aziendale?;Qual è la travel policy?
Quali sono i limiti per i rimborsi spese?;Quali sono i limiti di spesa per i rimborsi a piè di lista?
Come si richiede il rimborso per l'alloggio?;Come inserire giustificativo spese alloggio?
Come posso visualizzare eventuali errori nel cedolino?;Hai dei dubbi in merito alla lettura del tuo cedolino?
Cosa fare se ci sono errori nella busta paga?;Hai dei dubbi in merito alla lettura del tuo cedolino?
Come posso aggiornare le informazioni sui familiari a carico?;Quando serve indicare o rimuovere figlie/i a carico?
Come si segnala un problema con le presenze?;Come posso verificare la presenza di eventuali anomalie presenze?
Come posso registrare un permesso di lavoro non retribuito?;Come richiedere inserire un permesso congedo e richieste di natura personale?
Quali giustificativi usare per l'assenza prolungata?;Come posso giustificare una assenza?
Dove posso trovare informazioni sulle timbrature in ritardo?;Come inserire giustificativo ritardo?
Come posso vedere lo stato della mia richiesta di ferie?;Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?
Qual è la procedura per aggiornare il saldo ferie?;Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?
Come faccio a sapere se ci sono errori nelle mie timbrature?;Come posso verificare la presenza di eventuali anomalie presenze?
Come posso nominare un sostituto per l'approvazione delle presenze?;Come puoi nominare un delegato all'approvazione delle presenze del tuo team?
