DomandaSintetica;DomandaCorretta;ListaTop3;
Come si richiede il rimborso spese?;Come posso compilare una nota spese?;['Come posso chiudere una nota spese e mandarla in approvazione?', 'Hai dei dubbi in merito alla lettura del tuo cedolino?', 'Quando serve indicare o rimuovere figlie/i a carico?'];
Cosa succede se non rispetto l'orario di lavoro?;Come posso verificare la presenza di eventuali anomalie presenze?;"[""Che cos'Ã¨ lo zainetto e come utilizzarlo?"", 'Come eliminare un giustificativo di assenza inserito che poi per esigenze di servizio non ho usato?', ""Cos'Ã¨ la trattenuta CRA2A?""]";
Qual Ã¨ la procedura per richiedere il congedo matrimoniale?;Come richiedere inserire un permesso congedo e richieste di natura personale?;['Come ottenere il certificato di stipendio per la cessione del quinto?', 'Come inserire spese di rappresentanza?', 'Come fare per prenotare un viaggio di lavoro?'];
Come posso verificare il mio saldo ore straordinarie?;Come posso visualizzare le mie timbrature?;"['Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?', ""Dove trovo l'importo rimborsato tramite il modello 730?"", 'Come inserire le ore viaggio?']";
In quale sezione del cedolino Ã¨ indicato il rimborso del modello 730?;Dove trovo l'importo rimborsato tramite il modello 730?;"[""Cos' Ã¨ la rateazione del debito proveniente da modello 730?"", 'Come posso chiudere una nota spese e mandarla in approvazione?', 'Hai dei dubbi in merito alla lettura del tuo cedolino?']";
Non capisco alcune voci del mio cedolino; come posso interpretarle?;Hai dei dubbi in merito alla lettura del tuo cedolino?;"['Auto in fringe benefit: come individuare le voci a cedolino?', 'Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?', ""Come puoi nominare un delegato all'approvazione delle presenze del tuo team?""]"
Come si fa a chiedere il rimborso delle spese per i pasti?;Come inserire rimborsi per vitto?;['Come posso chiudere una nota spese e mandarla in approvazione?', 'Quando serve indicare o rimuovere figlie/i a carico?', 'Come inserire giustificativo spese alloggio?'];
Qual Ã¨ il modo corretto per compilare una nota spese?;Come posso compilare una nota spese?;['Come posso giustificare una assenza?', 'Come posso chiudere una nota spese e mandarla in approvazione?', 'Come inserire giustificativo spese alloggio?'];
Come posso ottenere l'autorizzazione per usare la mia auto privata?;Come richiedere autorizzazione a utilizzo auto privata?;['Come ottenere il certificato di stipendio per la cessione del quinto?', 'Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?', 'Auto in fringe benefit: come individuare le voci a cedolino?'];
Qual Ã¨ la procedura da seguire se perdo uno scontrino?;Cosa fare se ho smarrito gli scontrini?;['Come inserire spese di rappresentanza?', 'Come fare per prenotare un viaggio di lavoro?', 'Come ottenere il certificato di stipendio per la cessione del quinto?'];
Che documenti servono per richiedere il rimborso del trasporto pubblico durante una trasferta?;In caso di trasferta quali documenti allegare per richiedere il rimborso delle spese per il trasporto pubblico?;['Come posso chiudere una nota spese e mandarla in approvazione?', 'Come ottenere il certificato di stipendio per la cessione del quinto?', 'Come posso giustificare una assenza?'];
Qual Ã¨ la travel policy aziendale?;Qual Ã¨ la travel policy?;['Come inserire spese di rappresentanza?', 'Come fare per prenotare un viaggio di lavoro?', 'Come ottenere il certificato di stipendio per la cessione del quinto?'];
Quali sono i limiti per i rimborsi spese?;Quali sono i limiti di spesa per i rimborsi a piÃ¨ di lista?;['Come inserire giustificativo ritardo?', 'Come inserire rimborsi per vitto?', 'Quali informazioni sono generate dal sistema in base alle timbrature ed ai giustificativi inseriti?'];
Come posso visualizzare eventuali errori nel cedolino?;Hai dei dubbi in merito alla lettura del tuo cedolino?;['Come posso visualizzare le mie timbrature?', 'Come posso verificare la presenza di eventuali anomalie presenze?', 'Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?'];
Come si segnala un problema con le presenze?;Come posso verificare la presenza di eventuali anomalie presenze?;"['Posso giustificare un periodo di FERIE di piÃ¹ giorni consecutivi con un unico inserimento?', 'Hai dei dubbi in merito alla lettura del tuo cedolino?', ""Come puoi nominare un delegato all'approvazione delle presenze del tuo team?""]";
